Title,Album,Year,Link
Finding My Way,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/findingmyway.html
Need Some Love,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/needsomelove.html
Take A Friend,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/takeafriend.html
Here Again,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/hereagain.html
What You're Doing,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/whatyouredoing.html
In The Mood,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/inthemood.html
Before And After,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/beforeandafter.html
Working Man,"""Rush""",1974,https://www.azlyrics.com/lyrics/rush/workingman.html
Anthem,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/anthem.html
Best I Can,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/bestican.html
"Beneath, Between And Behind","""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/beneathbetweenandbehind.html
By-Tor And The Snow Dog,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/bytorandthesnowdog.html
Fly By Night,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/flybynight.html
Making Memories,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/makingmemories.html
Rivendell,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/rivendell.html
In The End,"""Fly By Night""",1975,https://www.azlyrics.com/lyrics/rush/intheend.html
Bastille Day,"""Caress Of Steel""",1975,https://www.azlyrics.com/lyrics/rush/bastilleday.html
I Think I'm Going Bald,"""Caress Of Steel""",1975,https://www.azlyrics.com/lyrics/rush/ithinkimgoingbald.html
Lakeside Park,"""Caress Of Steel""",1975,https://www.azlyrics.com/lyrics/rush/lakesidepark.html
The Necromancer,"""Caress Of Steel""",1975,https://www.azlyrics.com/lyrics/rush/thenecromancer.html
